frame_id,time_sec,cls,conf,x1,y1,x2,y2
0,0.000000,0,0.250889,816.04,940.02,959.89,1080.00
1,0.033333,0,0.647434,917.44,447.20,1076.34,601.39
2,0.066667,0,0.390575,715.53,35.15,883.48,194.16
3,0.100000,0,0.326523,981.93,609.67,1134.31,753.48
4,0.133333,0,0.324988,982.08,609.96,1134.30,753.48
5,0.166667,0,0.404531,792.89,40.32,989.59,175.50
7,0.233333,0,0.732914,1007.37,628.17,1141.72,794.45
7,0.233333,0,0.212368,495.12,171.58,634.51,327.97
9,0.300000,0,0.884540,1086.45,531.77,1268.39,682.89
10,0.333333,0,0.887740,1086.67,531.11,1268.66,682.87
11,0.366667,0,0.416395,1117.42,514.50,1283.86,678.51
12,0.400000,0,0.747745,1107.51,526.76,1278.26,689.01
15,0.500000,0,0.753686,1096.99,514.34,1268.09,678.92
16,0.533333,0,0.751137,1097.59,515.21,1267.78,679.01
